Código,Descripción,Categoría,Sección,Capítulo
00,PROCEDIMIENTO E INTERVENCION NCOC,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.0,ULTRASONIDO TERAPEUTICO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.01,ULTRASONIDO TERAPEUTICO.VASO CABEZA Y CUELLO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.02,ULTRASONIDO TERAPEUTICO.CORAZON,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.03,ULTRASONIDO TERAPEUTICO.VASO PERIFERICO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.09,ULTRASONIDO TERAPEUTICO.OTRO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.1,TRATAMIENTO FARMACOLOGICO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.10,IMPLANTACION AGENTE QUIMIOTERAPICO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.11,INFUSION DROTRECOGIN ALFA (ACTIVADO),"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.12,ADMINISTRACION OXIDO NITRICO INHALADO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.13,INYECCION NESIRITIDE,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.14,INYECCION ANTIBIOTICO CLASE OXAZOLIDIONA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.15,INFUSION INTERLEUKINA-2 ALTA DOSIS,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.16,INJERTO DERIVACION VENOSO PRESURIZADO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
